nro,empresa,origen,sector,gradoAvanceRadicación,direccion,direccion2,latitude,longitude,noticias,url,meta keywords (de la pagina web),linkedin,"linkedin class=""basic-info-description""","nombre completo (<span itemprop=""name"">EMPRESA</span>) de Cuit Online",cuit,cuit online,,latitud,longitud,g_lat,g_lon,LineString,URL Google Maps,URL OSM,URL Gob,CALLE,NRO,Asignee,ExtraCol
50,TELEFONICA G. DE SS COMPARTIDOS,Ext.,BPO,En Operación,LOS PATOS 3151,LOS PATOS 3151,-34.641329,-58.406947,[],,,,,,,,,-34.641329,-58.406947,-34.6413419,-58.4068256,"LINESTRING(-58.406947 -34.641329,-58.4068256 -34.6413419)","https://maps.googleapis.com/maps/api/geocode/json?address=LOS PATOS 3151, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=LOS PATOS 3151, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.409018 -34.642738, -58.4088542 -34.6426801)"
51,INTEROPTICS,Nac.,SOFTWARE,En Operación,USPALLATA 2983/85/87,USPALLATA 2983,-34.639501,-58.404795,[],,,,,,,,,-34.639501,-58.404795,-34.6395043,-58.4047713,"LINESTRING(-58.404795 -34.639501,-58.4047713 -34.6395043)","https://maps.googleapis.com/maps/api/geocode/json?address=USPALLATA 2983, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=USPALLATA 2983, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.406947 -34.641329, -58.4068256 -34.6413419)"
53,G&L GROUP,Nac.,SOFTWARE,En Operación,MONTEAGUDO 275,MONTEAGUDO 275,-34.640761,-58.404986,[],,,,,,,,,-34.640761,-58.404986,-34.6407654,-58.4049241,"LINESTRING(-58.404986 -34.640761,-58.4049241 -34.6407654)","https://maps.googleapis.com/maps/api/geocode/json?address=MONTEAGUDO 275, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=MONTEAGUDO 275, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.404795 -34.639501, -58.4047713 -34.6395043)"
54,MTD SOFTWARE SRL,Nac.,SOFTWARE,En Operación,CATULO CASTILLO 2932 PISO 4 OF.24,CATULO CASTILLO 2932,-34.634559,-58.404877,[],,,,,,,,,-34.634559,-58.404877,-34.6345878,-58.4048798,"LINESTRING(-58.404877 -34.634559,-58.4048798 -34.6345878)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 2932, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 2932, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.404986 -34.640761, -58.4049241 -34.6407654)"
55,OPEN COMPUTACIÓN,Nac.,SOFTWARE,En Operación,CATAMARCA 1985,CATAMARCA 1985,-34.632991,-58.401735,[],,,,,,,,,-34.632991,-58.401735,-34.6330288,-58.4017646,"LINESTRING(-58.401735 -34.632991,-58.4017645999999 -34.6330288)","https://maps.googleapis.com/maps/api/geocode/json?address=CATAMARCA 1985, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATAMARCA 1985, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.404877 -34.634559, -58.4048798 -34.6345878)"
56,HORWATH CAPITAL INTELECTUAL,Nac.,BPO,En Obra,Patagones 2937 PISO 5,PATAGONES 2937,-34.638074,-58.40423,[],,,,,,,,,-34.638074,-58.40423,-34.6380375,-58.4041992,"LINESTRING(-58.40423 -34.638074,-58.4041992 -34.6380375)","https://maps.googleapis.com/maps/api/geocode/json?address=PATAGONES 2937, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PATAGONES 2937, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.401735 -34.632991, -58.4017645999999 -34.6330288)"
60,GENERAL PLASTIC CORP,Nac.,BPO,En Operación,LOS PATOS 2526/2532,LOS PATOS 2526,-34.63922,-58.39663,[],,,,,,,,,-34.63922,-58.39663,-34.6392514,-58.3965336,"LINESTRING(-58.39663 -34.63922,-58.3965336 -34.6392514)","https://maps.googleapis.com/maps/api/geocode/json?address=LOS PATOS 2526, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=LOS PATOS 2526, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.40423 -34.638074, -58.4041992 -34.6380375)"
61,NITIS,Nac.,SOFTWARE,En Operación,BRASIL 2883,AV. BRASIL 2883,-34.632971,-58.404237,[],,,,,,,,,-34.632971,-58.404237,-34.633032,-58.4043622,"LINESTRING(-58.404237 -34.632971,-58.4043621999999 -34.633032)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. BRASIL 2883, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. BRASIL 2883, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.39663 -34.63922, -58.3965336 -34.6392514)"
62,VIDEOSWITCH,Nac.,HARDWARE,En Operación,USPALLATA 3579,USPALLATA 3579,-34.64106,-58.413571,[],,,,,,,,,-34.64106,-58.413571,-34.6410744,-58.4135562,"LINESTRING(-58.413571 -34.64106,-58.4135561999999 -34.6410744)","https://maps.googleapis.com/maps/api/geocode/json?address=USPALLATA 3579, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=USPALLATA 3579, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.404237 -34.632971, -58.4043621999999 -34.633032)"
63,DESPEGAR.COM,Ext.,e-COMMERCE,En Operación,AV. JUJUY 2013/16,AV. JUJUY 2013,-34.633985,-58.399706,[],,,,,,,,,-34.633985,-58.399706,-34.6340645,-58.3997839,"LINESTRING(-58.399706 -34.633985,-58.3997839 -34.6340645)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 2013, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 2013, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.413571 -34.64106, -58.4135561999999 -34.6410744)"
65,GEOSYSTEMS,Nac.,SOFTWARE,En Operación,ESTEBAN DE LUCA 2223,ESTEBAN DE LUCA 2223,-34.635719,-58.402374,[],,,,,,,,,-34.635719,-58.402374,-34.6355649,-58.4024218,"LINESTRING(-58.402374 -34.635719,-58.4024217999999 -34.6355649)","https://maps.googleapis.com/maps/api/geocode/json?address=ESTEBAN DE LUCA 2223, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=ESTEBAN DE LUCA 2223, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Pablo Fernández,"LINESTRING (-58.399706 -34.633985, -58.3997839 -34.6340645)"
66,REPORTE INFORMATIVO,Nac.,SOFTWARE,En Operación,ZAVALETA 219,ZAVALETA 219,-34.639566,-58.403233,[],,,,,,,,,-34.639566,-58.403233,-34.6394495,-58.4032842,"LINESTRING(-58.403233 -34.639566,-58.4032841999999 -34.6394495)","https://maps.googleapis.com/maps/api/geocode/json?address=ZAVALETA 219, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=ZAVALETA 219, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.402374 -34.635719, -58.4024217999999 -34.6355649)"
67,DELFAU,Nac.,SOFTWARE,En Operación,MANUEL GARCIA 276,MANUEL GARCIA 276,-34.638735,-58.396211,[],,,,,,,,,-34.638735,-58.396211,-34.6387124,-58.3962531,"LINESTRING(-58.396211 -34.638735,-58.3962531 -34.6387124)","https://maps.googleapis.com/maps/api/geocode/json?address=MANUEL GARCIA 276, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=MANUEL GARCIA 276, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.403233 -34.639566, -58.4032841999999 -34.6394495)"
68,BUFFA SISTEMAS,Nac.,SOFTWARE,En Operación,CASEROS 3227 PISO 7A,AV. CASEROS 3227,-34.637758,-58.409748,[],,,,,,,,,-34.637758,-58.409748,-34.6377278,-58.40985,"LINESTRING(-58.409748 -34.637758,-58.40985 -34.6377278)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 3227, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 3227, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.396211 -34.638735, -58.3962531 -34.6387124)"
69,FULLTRACE,Nac.,SOFTWARE,En Operación,AV. COLONIA 370,AV. COLONIA 370,-34.640319,-58.397036,[],,,,,,,,,-34.640319,-58.397036,-34.6404546,-58.3970665,"LINESTRING(-58.397036 -34.640319,-58.3970664999999 -34.6404546)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. COLONIA 370, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. COLONIA 370, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.409748 -34.637758, -58.40985 -34.6377278)"
70,GC GESTIÓN COMPARTIDA,Nac.,BPO,En Operación, PATAGONES 2548/50,PATAGONES 2548,-34.636902,-58.397751,[],,,,,,,,,-34.636902,-58.397751,-34.6368703,-58.3976161,"LINESTRING(-58.397751 -34.636902,-58.3976161 -34.6368703)","https://maps.googleapis.com/maps/api/geocode/json?address=PATAGONES 2548, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PATAGONES 2548, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.397036 -34.640319, -58.3970664999999 -34.6404546)"
72,IPLAN,Nac.,DATA CENTER,En Operación,LOS PATOS 2948,LOS PATOS 2948,-34.640754,-58.403822,[],,,,,,,,,-34.640754,-58.403822,-34.6407055,-58.4038399,"LINESTRING(-58.403822 -34.640754,-58.4038399 -34.6407055)","https://maps.googleapis.com/maps/api/geocode/json?address=LOS PATOS 2948, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=LOS PATOS 2948, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.397751 -34.636902, -58.3976161 -34.6368703)"
73,GOODWELL SOFTWARE ARGENTINA,Nac.,SOFTWARE,En Operación,ARRIOLA 49,ARRIOLA 49,-34.637265,-58.402883,[],,,,,,,,,-34.637265,-58.402883,-34.6372953,-58.4028672,"LINESTRING(-58.402883 -34.637265,-58.4028672 -34.6372953)","https://maps.googleapis.com/maps/api/geocode/json?address=ARRIOLA 49, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=ARRIOLA 49, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.403822 -34.640754, -58.4038399 -34.6407055)"
74,SYNCHRO TECNH,Nac.,SOFTWARE,En Operación,IGUAZÚ 280,IGUAZÚ 280,-34.640981,-58.406286,[],,,,,,,,,-34.640981,-58.406286,-34.6409237,-58.406265,"LINESTRING(-58.406286 -34.640981,-58.406265 -34.6409237)","https://maps.googleapis.com/maps/api/geocode/json?address=IGUAZÚ 280, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=IGUAZÚ 280, CABA, Argentina&format=json",#NAME?,#NAME?,280,Andrea Lata,"LINESTRING (-58.402883 -34.637265, -58.4028672 -34.6372953)"
75,TEKII,Nac.,SOFTWARE,En Operación,ELIA 551,ELIA 551,-34.644427,-58.408508,[],,,,,,,,,-34.644427,-58.408508,-34.6444462,-58.4084895,"LINESTRING(-58.408508 -34.644427,-58.4084895 -34.6444462)","https://maps.googleapis.com/maps/api/geocode/json?address=ELIA 551, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=ELIA 551, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.406286 -34.640981, -58.406265 -34.6409237)"
76,NOVASYS,Nac.,SOFTWARE,En Operación,JUJUY 1875 PISO 7,AV. JUJUY 1875,-34.632356,-58.400354,[],,,,,,,,,-34.632356,-58.400354,-34.6323198,-58.4003103,"LINESTRING(-58.400354 -34.632356,-58.4003102999999 -34.6323198)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1875, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1875, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.408508 -34.644427, -58.4084895 -34.6444462)"
77,GRUPO NET,Nac.,SOFTWARE,En Operación,DEAN FUNES 1960,DEAN FUNES 1960,-34.633834,-58.40435,[],,,,,,,,,-34.633834,-58.40435,-34.6338818,-58.4044517,"LINESTRING(-58.40435 -34.633834,-58.4044517 -34.6338818)","https://maps.googleapis.com/maps/api/geocode/json?address=DEAN FUNES 1960, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=DEAN FUNES 1960, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.400354 -34.632356, -58.4003102999999 -34.6323198)"
78,CIRCO STUDIO,Nac.,SOFTWARE,En Operación,JUJUY 2073 PISO 1,AV. JUJUY 2073,-34.634417,-58.399532,[],,,,,,,,,-34.634417,-58.399532,-34.634497,-58.3995012,"LINESTRING(-58.399532 -34.634417,-58.3995012 -34.634497)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 2073, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 2073, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.40435 -34.633834, -58.4044517 -34.6338818)"
79,SISTEMAS PARA BANCOS,Nac.,SOFTWARE,En Operación,VIRREY LINIERS 2351,VIRREY LINIERS 2351,-34.637602,-58.411839,[],,,,,,,,,-34.637602,-58.411839,-34.6375782,-58.4118206,"LINESTRING(-58.411839 -34.637602,-58.4118206 -34.6375782)","https://maps.googleapis.com/maps/api/geocode/json?address=VIRREY LINIERS 2351, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=VIRREY LINIERS 2351, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.399532 -34.634417, -58.3995012 -34.634497)"
80,TESIS OYS,Nac.,SOFTWARE,En Operación,CASEROS 3411 PISO 7,AV. CASEROS 3411,-34.638418,-58.413499,[],,,,,,,,,-34.638418,-58.413499,-34.6383388,-58.4135773,"LINESTRING(-58.413499 -34.638418,-58.4135772999999 -34.6383388)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 3411, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 3411, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.411839 -34.637602, -58.4118206 -34.6375782)"
81,ABACO,Nac.,BPO,En Operación,JUJUY 1875 PISO 6B,AV. JUJUY 1875,-34.632356,-58.400354,[],,,,,,,,,-34.632356,-58.400354,-34.6323198,-58.4003103,"LINESTRING(-58.400354 -34.632356,-58.4003102999999 -34.6323198)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1875, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1875, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.413499 -34.638418, -58.4135772999999 -34.6383388)"
82,VR4,Nac.,SOFTWARE,En Operación,JUJUY 1963 PISO 2B,AV. JUJUY 1963,-34.633398,-58.399942,[],,,,,,,,,-34.633398,-58.399942,-34.6333204,-58.3999378,"LINESTRING(-58.399942 -34.633398,-58.3999378 -34.6333204)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1963, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1963, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.400354 -34.632356, -58.4003102999999 -34.6323198)"
83,E-BUY PLACE,Nac.,SOFTWARE,En Operación,MONTEAGUDO 146,MONTEAGUDO 146,-34.638881,-58.405211,[],,,,,,,,,-34.638881,-58.405211,-34.6388603,-58.4051891,"LINESTRING(-58.405211 -34.638881,-58.4051891 -34.6388603)","https://maps.googleapis.com/maps/api/geocode/json?address=MONTEAGUDO 146, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=MONTEAGUDO 146, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.399942 -34.633398, -58.3999378 -34.6333204)"
84,PEDIATRIC CARE,Nac.,SOFTWARE,En operación,RONDEAU 2520,RONDEAU 2520,-34.634612,-58.398177,[],,,,,,,,,-34.634612,-58.398177,-34.6345677,-58.3982191,"LINESTRING(-58.398177 -34.634612,-58.3982191 -34.6345677)","https://maps.googleapis.com/maps/api/geocode/json?address=RONDEAU 2520, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=RONDEAU 2520, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.405211 -34.638881, -58.4051891 -34.6388603)"
85,MOVIL CARGA,Nac.,BPO,En Operación,DEAN FUNES 2077,DEAN FUNES 2077,-34.635192,-58.404191,[],,,,,,,,,-34.635192,-58.404191,-34.6352247,-58.4042207,"LINESTRING(-58.404191 -34.635192,-58.4042207 -34.6352247)","https://maps.googleapis.com/maps/api/geocode/json?address=DEAN FUNES 2077, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=DEAN FUNES 2077, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.398177 -34.634612, -58.3982191 -34.6345677)"
86,IADEV,Nac.,BPO,En Operación,RONDEAU 3124,RONDEAU 3124,-34.636514,-58.40818,[],,,,,,,,,-34.636514,-58.40818,-34.6364682,-58.4081055,"LINESTRING(-58.40818 -34.636514,-58.4081055 -34.6364682)","https://maps.googleapis.com/maps/api/geocode/json?address=RONDEAU 3124, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=RONDEAU 3124, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.404191 -34.635192, -58.4042207 -34.6352247)"
87,LAKAUT,Nac.,BPO,En Operación,CASEROS 3371,AV. CASEROS 3371,-34.638255,-58.412666,[],,,,,,,,,-34.638255,-58.412666,-34.6383112,-58.4126494,"LINESTRING(-58.412666 -34.638255,-58.4126494 -34.6383112)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 3371, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 3371, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.40818 -34.636514, -58.4081055 -34.6364682)"
90,PAY-U LATAM,Ext.,e-COMMERCE,En Operación,RONDEAU 2664 PISO 2.,RONDEAU 2664,-34.634976,-58.400256,[],,,,,,,,,-34.634976,-58.400256,-34.6349489,-58.4003402,"LINESTRING(-58.400256 -34.634976,-58.4003402 -34.6349489)","https://maps.googleapis.com/maps/api/geocode/json?address=RONDEAU 2664, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=RONDEAU 2664, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.412666 -34.638255, -58.4126494 -34.6383112)"
91,TEKNARIA,Nac.,BPO,En Operación,CASEROS 3405 PISO 1.,AV. CASEROS 3405,-34.638397,-58.413379,[],,,,,,,,,-34.638397,-58.413379,-34.6384366,-58.4133676,"LINESTRING(-58.413379 -34.638397,-58.4133676 -34.6384366)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. CASEROS 3405, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. CASEROS 3405, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.400256 -34.634976, -58.4003402 -34.6349489)"
93,EXISOFT,Nac.,SOFTWARE,En Operación,MONTEAGUDO 252,MONTEAGUDO 252,-34.640493,-58.404918,[],,,,,,,,,-34.640493,-58.404918,-34.6404693,-58.4049542,"LINESTRING(-58.404918 -34.640493,-58.4049542 -34.6404693)","https://maps.googleapis.com/maps/api/geocode/json?address=MONTEAGUDO 252, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=MONTEAGUDO 252, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.413379 -34.638397, -58.4133676 -34.6384366)"
94,ASSERT SOLUTIONS,Nac.,SOFTWARE,En Operación,CATULO CASTILLO 2630 PISO 3,CATULO CASTILLO 2630,-34.63289,-58.400638,[],,,,,,,,,-34.63289,-58.400638,-34.6329011,-58.4006107,"LINESTRING(-58.400638 -34.63289,-58.4006107 -34.6329011)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 2630, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 2630, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.404918 -34.640493, -58.4049542 -34.6404693)"
96,DPS SISTEMAS,Nac.,SOFTWARE,En Operación,PATAGONES 2559 PB DEPT. 2,PATAGONES 2559,-34.636823,-58.397852,[],,,,,,,,,-34.636823,-58.397852,-34.6367839,-58.397826,"LINESTRING(-58.397852 -34.636823,-58.3978259999999 -34.6367839)","https://maps.googleapis.com/maps/api/geocode/json?address=PATAGONES 2559, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PATAGONES 2559, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.400638 -34.63289, -58.4006107 -34.6329011)"
97,DIGITAL FILE,Nac.,BPO,En Operación,JUJUY 1963 PISO 8 OFIC. B,AV. JUJUY 1963,-34.633398,-58.399942,[],,,,,,,,,-34.633398,-58.399942,-34.6333204,-58.3999378,"LINESTRING(-58.399942 -34.633398,-58.3999378 -34.6333204)","https://maps.googleapis.com/maps/api/geocode/json?address=AV. JUJUY 1963, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=AV. JUJUY 1963, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.397852 -34.636823, -58.3978259999999 -34.6367839)"
98,LUGALU,Nac.,SOFTWARE,En Operación,MONTEAGUDO 532/536,MONTEAGUDO 532,-34.643831,-58.404238,[],,,,,,,,,-34.643831,-58.404238,-34.6437479,-58.4043506,"LINESTRING(-58.404238 -34.643831,-58.4043506 -34.6437479)","https://maps.googleapis.com/maps/api/geocode/json?address=MONTEAGUDO 532, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=MONTEAGUDO 532, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Andrea Lata,"LINESTRING (-58.399942 -34.633398, -58.3999378 -34.6333204)"
99,SGB INFORMATION SERVICES,Nac.,BPO,En Operación,PEPIRI 286,PEPIRI 286,-34.641504,-58.409031,[],,,,,,,,,-34.641504,-58.409031,-34.6414794,-58.409062,"LINESTRING(-58.409031 -34.641504,-58.409062 -34.6414794)","https://maps.googleapis.com/maps/api/geocode/json?address=PEPIRI 286, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PEPIRI 286, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.404238 -34.643831, -58.4043506 -34.6437479)"
100,BUMERAN,Nac.,e-COMMERCE,En Operación,RONDEAU 2664 PISO 4,RONDEAU 2664,-34.634976,-58.400256,[],,,,,,,,,-34.634976,-58.400256,-34.6349489,-58.4003402,"LINESTRING(-58.400256 -34.634976,-58.4003402 -34.6349489)","https://maps.googleapis.com/maps/api/geocode/json?address=RONDEAU 2664, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=RONDEAU 2664, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.409031 -34.641504, -58.409062 -34.6414794)"
101,UNIVERSOBIT,Nac.,SOFTWARE,En Operación,RONDEAU 2664 PISO 3,RONDEAU 2664,-34.634976,-58.400256,[],,,,,,,,,-34.634976,-58.400256,-34.6349489,-58.4003402,"LINESTRING(-58.400256 -34.634976,-58.4003402 -34.6349489)","https://maps.googleapis.com/maps/api/geocode/json?address=RONDEAU 2664, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=RONDEAU 2664, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.400256 -34.634976, -58.4003402 -34.6349489)"
102,SITEPRO,Nac.,SOFTWARE,En Operación,CATULO CASTILLO 2630 PISO 2A,CATULO CASTILLO 2630,-34.63289,-58.400638,[],,,,,,,,,-34.63289,-58.400638,-34.6329011,-58.4006107,"LINESTRING(-58.400638 -34.63289,-58.4006107 -34.6329011)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 2630, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 2630, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.400256 -34.634976, -58.4003402 -34.6349489)"
103,SERDATA,Nac.,SOFTWARE,En Operación,PATAGONES 2750,PATAGONES 2750,-34.637495,-58.400901,[],,,,,,,,,-34.637495,-58.400901,-34.6375251,-58.4006418,"LINESTRING(-58.400901 -34.637495,-58.4006417999999 -34.6375251)","https://maps.googleapis.com/maps/api/geocode/json?address=PATAGONES 2750, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=PATAGONES 2750, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.400638 -34.63289, -58.4006107 -34.6329011)"
104,INFOGESTION BRANCHT,Nac.,BPO,En Operación,CATULO CASTILLO 2630 PISO 1,CATULO CASTILLO 2630,-34.63289,-58.400638,[],,,,,,,,,-34.63289,-58.400638,-34.6329011,-58.4006107,"LINESTRING(-58.400638 -34.63289,-58.4006107 -34.6329011)","https://maps.googleapis.com/maps/api/geocode/json?address=CATULO CASTILLO 2630, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=CATULO CASTILLO 2630, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.400901 -34.637495, -58.4006417999999 -34.6375251)"
105,NET SERVICES,Nac.,SOFTWARE,En Operación,LA RIOJA 2011 PB,LA RIOJA 2011,-34.634845,-58.405875,[],,,,,,,,,-34.634845,-58.405875,-34.6349557,-58.4059878,"LINESTRING(-58.405875 -34.634845,-58.4059878 -34.6349557)","https://maps.googleapis.com/maps/api/geocode/json?address=LA RIOJA 2011, CABA, ARGENTINA","http://nominatim.openstreetmap.org/search?q=LA RIOJA 2011, CABA, Argentina&format=json",#NAME?,#NAME?,#NAME?,Nicolas Buchhalter,"LINESTRING (-58.400638 -34.63289, -58.4006107 -34.6329011)"
